Entity,Code,Year,Production based (in tonnes),Consumption-based (in tonnes)
India,IND,1990,616.579243,615.4876226
India,IND,1991,656.7408929,652.7592669
India,IND,1992,698.7569497,686.7940954
India,IND,1993,722.8942594,706.2089718
India,IND,1994,764.2421029,743.9274949
India,IND,1995,811.4609267,777.0397555
India,IND,1996,878.8271198,824.9307671
India,IND,1997,915.049313,871.4430543
India,IND,1998,933.5492581,886.9788481
India,IND,1999,995.2330716,957.0835794
India,IND,2000,1029.637759,950.8980402
India,IND,2001,1035.640345,965.954444
India,IND,2002,1047.595651,964.2377132
India,IND,2003,1091.873009,1023.270263
India,IND,2004,1145.54544,1079.006162
India,IND,2005,1210.145667,1115.519176
India,IND,2006,1287.149211,1198.79704
India,IND,2007,1390.253491,1301.998374
India,IND,2008,1547.990823,1429.633662
India,IND,2009,1720.12056,1632.503349
India,IND,2010,1700.027394,1611.118098
India,IND,2011,1811.961392,1684.377666
India,IND,2012,1979.046909,1832.35011
India,IND,2013,1994.100994,1800.058524
India,IND,2014,2199.400041,1985.509187
India,IND,2015,2298.17009,2106.542376
India,IND,2016,2371.752346,2176.917951
India,IND,2017,2456.954485,2259.676597
