Entity,Code,Year,Gas (CDIAC & GCP (2020)),Coal (CDIAC & GCP (2020)),Oil (CDIAC & GCP (2020)),Cement (CDIAC & GCP (2020)),Flaring (CDIAC & GCP (2020))
China,CHN,1971,7.1741,736.4274,120.0913,9.5358,0.79142
China,CHN,1972,9.2809,770.7187,138.327,9.5414,1.0223
China,CHN,1973,11.4683,783.7443,158.8197,10.3538,1.2641
China,CHN,1974,14.4398,776.1012,182.5735,10.3366,1.6341
China,CHN,1975,16.9716,906.6385,204.1911,12.3954,1.9053
China,CHN,1976,19.3679,910.3868,238.9844,20.3166,1.9053
China,CHN,1977,23.2371,998.6085,257.4839,22.8931,2.1801
China,CHN,1978,26.2855,1117.4467,281.9924,26.7958,2.737
China,CHN,1979,27.7768,1147.5501,278.4274,30.2993,3.0631
China,CHN,1980,27.3188,1122.6643,273.2025,32.6894,3.0118
China,CHN,1981,24.3876,1125.0019,256.3737,34.3261,2.6894
China,CHN,1982,22.9,1248.8561,257.81,38.3777,2.5245
China,CHN,1983,23.4386,1321.843,263.7714,44.0865,2.6711
China,CHN,1984,24.2264,1454.1976,271.4511,49.2287,3.2133
